Type,Authors,Affiliation,Title,Url
"Poster","Lianna Amold, Angel Mercado, Sharmistha Mukhopadhyay, Shaheen Dewji","Georgia Institute of Technology","Advancing neutron shielding evaluation through LET measurement and spectrum reconstruction with MCNP, FLUKA, and neural networks","/2026/abstracts/posters/abstract-amold.pdf"
"Poster","Max Carlson, Brittany A. Broder, Richard Essex, Ryan Fitzgerald, Brian Zimmerman","National Institute of Standards and Technology (NIST)","Quantitative gas transfer for re-establishing gaseous source measurements at NIST","/2026/abstracts/posters/abstract-carlson.pdf"
"Poster","Maci Dahlberg, Dilara Turkel Agacik, Mark Driscoll","State University of New York (SUNY)","Polyacrylamide synthesis through UV and electron beam radiation","/2026/abstracts/posters/abstract-dahlberg.pdf"
"Poster","Tau David, Richard List, Mark Driscoll","State University of New York (SUNY)","Evaluating lignin proton structural evolution following 25–200 kGy electron beam exposure","/2026/abstracts/posters/abstract-david.pdf"
"Poster","Kumkum Ganguly, Jessica Lynn Goodman, Tucker McClanahan, John Schmidt, Daniel Jackson, Mohammad Omar Ishak, Seychelles Joyce Voit, Armand Earl Ko Dichosa, Samuel Isaac Koehler, Blake Hovde, Charity D. Roybal, John Timothy Goorley, Michael John Brown, Jennifer Foster Harris, Animesh Ray","Los Alamos National Laboratory; Oak Ridge National Laboratory; Keck Graduate Institute","LANL cellular-level dosimetric characterization of ionizing radiation via Monte Carlo N-Particle (MCNP6) simulation","/2026/abstracts/posters/abstract-ganguly.pdf"
"Poster","Noel A. Guardala","Brookhaven Technology Group","energy deposition and transport of beta particles, gamma rays and fast neutrons using Sn-doped Ga-2O3 in scintillation mode","/2026/abstracts/posters/abstract-guardala.pdf"
"Poster","Establishment of an in vivo dose-response relationship between Na-24 activity and neutron doses in C57BL/6 mice","Armed Forces Radiobiology Research Institute (AFRRI); Henry M Jackson Foundation for the Advancement of Military Medicine","Establishment of an in vivo dose–response relationship between Na-24 activity and neutron doses in C57BL/6 mice","/2026/abstracts/posters/abstract-hull.pdf"
"Poster","Lalitha Kurada, William F. Blakely, Brandon M. Wiggins, David L. Bolduc","Henry M. Jackson Foundation; Armed Forces Radiobiology Research Institute (AFRRI)","radiation risk communication using an in-house non-code app solution","/2026/abstracts/posters/abstract-karuda.pdf"
"Poster","Emmanuel Matey Mate-Kole, Shaheen Azim Dewji","Georgia Institute of Technology","From aerosol deposition to non-reference internal dose: Integrated evaluation of inhalation exposure and internal dosimetry for military personnel","/2026/abstracts/posters/abstract-mate-kole.pdf"
"Poster","Elizabeth McDaniel, Richard List, Ileana Pazos, Mark Driscoll","State University of New York (SUNY); National Institute of Standards and Technology (NIST)s","Optimization of Alpha and N-cellulose in sodium hydroxide using ionizing radiation","/2026/abstracts/posters/abstract-mcdaniel.pdf"
"Poster","Mark Murphy, Maddison Rex, Larry DeWerd, Keith Kunugi, Randy Kimple, Colin Hill, Yannick Poirier, Julian Down","Pacific Northwest National Laboratory (PNNL); University of Wisconsin–Madison; University of Southern California Los Angeles; University of Maryland; Massachusetts Institute of Technology (MIT)","Development of educational courses on basic dosimetry and proper irradiation protocols for users and calibrators of x-ray cabinet irradiators","/2026/abstracts/posters/abstract-murphy.pdf"
"Poster","Andrew Palm, Mark Driscoll","State University of New York (SUNY)","Electron beam calibration using a depth-dose channel ratio","/2026/abstracts/posters/abstract-palm.pdf"
"Poster","Mohammad Rezaee, John Wong","Johns Hopkins University","A novel biomolecular dosimetry metric for biological assessment of particles and ions", "/2026/abstracts/posters/abstract-rezaee.pdf"
"Poster","Joseph Robertson, Ileana Pazos","Microsystems and Nanotechnology; National Institute of Standards and Technology (NIST)","Nanoscience-driven biodosimetry supporting ionizing radiation metrology", "/2026/abstracts/posters/abstract-robertson.pdf"
"Poster","Randy Schwarz, Mie Azuma, Mark Murphy","Pacific Northwest National Laboratory","New version of PUFFIn software that allows quick beam quality and biological specimen dose distribution information for cabinet irradiators","/2026/abstracts/posters/abstract-schwarz.pdf"
"Poster","M. A. Tyra, J. T. Cessna, J. H. Wilde, R. Fitgerald, D. E. Bergeron, B. E. Zimmerman","National Institute of Standards and Technology (NIST)","Calibrating a secondary standard ionization chamber for photon-emitting radionuclides in ISO 10R vials","/2026/abstracts/posters/abstract-tyra.pdf"
"Poster","Wanchang Cui, Lisa Hull, Asher Rothstein, Li Wang, Bin Lin, Min Zhai, Mang Xiao","Armed Forces Radiobiology Research Institute (AFRRI); Henry M Jackson Foundation for the Advancement of Military Medicine","Circulating cytokine signatures for radiation biodosimetry in a mouse PBI/BM5 model","/2026/abstracts/posters/abstract-wanchang.pdf"
"Poster","Alia Weaver, Alena Tsioplaya, Kefale Wuddie, Gregory Holmes-Hampton, Sanchita Ghosh, Vidya P. Kumar","Armed Forces Radiobiology Research Institute (AFRRI)","Development of a murine irradiation platform for screening of medical countermeasures against multi-organ injuries","/2026/abstracts/posters/abstract-weaver.pdf"
"Poster","Haulison Yayoh, Mark Driscoll, Richard List","State University of New York (SUNY)","Dose-driven degradation of azole emerging contaminants in water by electron beam irradiation","/2026/abstracts/posters/abstract-yayoh.pdf"
"Poster","Hao Yu, Jackson King, Akira Idesaki, Yasunari Maekawa, Sylwia Ptasinska","University of Notre Dame; National Institutes for Quantum Science and Technology, Japan","Energy dependent electron induced modification of PTFE: Bulk degradation and surface defluorination","/2026/abstracts/posters/abstract-yu.pdf"
"Poster / Cleland","Dilara Turkel Agacik, Mark S. Driscoll","State University of New York (SUNY)","Radiation-induced changes in mechanical properties of cellulose-based materials for grafted polymer applications","/2026/abstracts/posters/cleland-abstract-agacik.pdf"
"Poster / Cleland ","Rui Fang, Zaijing Sun","University of Nevada Las Vegas","A new online computer program for neutron activation analysis","/2026/abstracts/posters/cleland-abstract-fang.pdf"
"Poster / Cleland","Andrew M Friberg, Eric S. Diffenderfer, Lingshu Yin, Boon-Keng Kevin Teo, and Wei Zou","University of Pennsylvania","Modeling lateral charge dynamics and space-charge screening in ionization chambers under UHDR proton pencil beam","/2026/abstracts/posters/cleland-abstract-friberg.pdf"
"Poster / Cleland","Kevin Jimenez, Wenbo Gu, Boon-Keng Kevin Teo","University of Pennsylvania","Development of a metal-based variable density range modulator for proton FLASH therapy","/2026/abstracts/posters/cleland-abstract-jimenez.pdf"
"Poster / Cleland","Devon Overson, Hashir Rashad, Heath Davis, Daniel Pinkham","University of Virginia","Clinical implementation of Optically-Stimulated Luminescent Dosimeters (OSLDs) toward dose verification of rotational Total Skin Electron Treatment (TSET)","/2026/abstracts/posters/cleland-abstract-overson.pdf"
"Poster / Cleland","Karen Rex Pius Vincent, Larry A. DeWerd","University of Wisconsin–Madison","Nondestructive volume determination of commercial ionization chamber using various micro-CTs","/2026/abstracts/posters/cleland-abstract-pius_vincent.pdf"
"Poster / Cleland","Likhitha Polepalli, Peyton Lalain, Sean Jollota, Denis Bergeron, Larry DeWerd","University of Wisconsin–Madison; National Institute of Standards and Technology (NIST)","Evaluating source geometry dependencies in Lu-177 measurements with air communicating well-type ionization chambers","/2026/abstracts/posters/cleland-abstract-polepalli.pdf"
"Essay","Lindsey Wright","University of Maryland","Quantifying arsenic in rice using neutron activation analysis","/2026/abstracts/posters/technology-essay-wright.pdf"
